[1626187894898, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562427, 'o': '32555.01000000', 'c': '32554.10000000', 'h': '32560.03000000', 'l': '32554.10000000', 'v': '33.72952300', 'n': 261, 'x': False, 'q': '1098083.91708244', 'V': '7.53203100', 'Q': '245226.60544923', 'B': '0'}]
[1626187994077, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563063, 'o': '32554.17000000', 'c': '32554.16000000', 'h': '32554.17000000', 'l': '32554.16000000', 'v': '0.99935300', 'n': 61, 'x': False, 'q': '32533.10264848', 'V': '0.51900000', 'Q': '16895.61423000', 'B': '0'}]
[1626187996555, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563075, 'o': '32554.17000000', 'c': '32554.17000000', 'h': '32554.17000000', 'l': '32554.16000000', 'v': '1.12360200', 'n': 73, 'x': False, 'q': '36577.92488171', 'V': '0.55973900', 'Q': '18221.83856163', 'B': '0'}]
[1626187998602, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563099, 'o': '32554.17000000', 'c': '32554.17000000', 'h': '32554.17000000', 'l': '32554.16000000', 'v': '2.01759000', 'n': 97, 'x': False, 'q': '65680.95719755', 'V': '0.95231500', 'Q': '31001.82440355', 'B': '0'}]
[1626188000917, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563315, 'o': '32554.17000000', 'c': '32537.87000000', 'h': '32554.17000000', 'l': '32535.46000000', 'v': '28.96373800', 'n': 313, 'x': False, 'q': '942807.90609110', 'V': '3.31986200', 'Q': '108035.64466191', 'B': '0'}]
[1626188003581, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563355, 'o': '32554.17000000', 'c': '32531.51000000', 'h': '32554.17000000', 'l': '32531.51000000', 'v': '30.31559400', 'n': 353, 'x': False, 'q': '986790.50675404', 'V': '3.36623000', 'Q': '109544.20450359', 'B': '0'}]
[1626188003581, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563355, 'o': '32554.17000000', 'c': '32531.51000000', 'h': '32554.17000000', 'l': '32531.51000000', 'v': '30.31559400', 'n': 353, 'x': False, 'q': '986790.50675404', 'V': '3.36623000', 'Q': '109544.20450359', 'B': '0'}]
[1626188005601, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563367, 'o': '32554.17000000', 'c': '32531.45000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.45377400', 'n': 365, 'x': False, 'q': '991285.58592981', 'V': '3.49404700', 'Q': '113702.17478392', 'B': '0'}]
[1626188005601, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563367, 'o': '32554.17000000', 'c': '32531.45000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.45377400', 'n': 365, 'x': False, 'q': '991285.58592981', 'V': '3.49404700', 'Q': '113702.17478392', 'B': '0'}]
[1626188007673, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563378, 'o': '32554.17000000', 'c': '32531.49000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.61592300', 'n': 376, 'x': False, 'q': '996560.53342218', 'V': '3.54823200', 'Q': '115464.89356957', 'B': '0'}]
[1626188007673, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563378, 'o': '32554.17000000', 'c': '32531.49000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.61592300', 'n': 376, 'x': False, 'q': '996560.53342218', 'V': '3.54823200', 'Q': '115464.89356957', 'B': '0'}]
[1626188009699, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563395, 'o': '32554.17000000', 'c': '32531.49000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.66015600', 'n': 393, 'x': False, 'q': '997999.46553423', 'V': '3.56833900', 'Q': '116118.99480454', 'B': '0'}]
[1626188009699, 'BTCUSDT', {'t': 1626187980000, 'T': 1626188039999, 's': 'BTCUSDT', 'i': '1m', 'f': 954563003, 'L': 954563395, 'o': '32554.17000000', 'c': '32531.49000000', 'h': '32554.17000000', 'l': '32530.00000000', 'v': '30.66015600', 'n': 393, 'x': False, 'q': '997999.46553423', 'V': '3.56833900', 'Q': '116118.99480454', 'B': '0'}]
